Title,Location,Price
,Lalitpur,75000
Bungalow On Sale In Sunakothi,Lalitpur,67500000
Brand New House For Sale In Imadol,Lalitpur,23000000
Commercial Space Available For Rent In Lazimpath,Kathmandu,150
Luxurious House For Rent At Pulchowk,Lalitpur,8550
House For Rent In Kusunti – Mahalaxmisthan,Lalitpur,75000
Attractive Land For Sale In Bhaisepati,Lalitpur,6500000
Fully Furnished House for Rent In Man Bhawan,Lalitpur,2000
3BHK Luxurious Apartment For Rent At Sanepa,Lalitpur,2000
1 BHK Luxury Apartment For Rent in Kupondole,Lalitpur,60000
3BHK & 2BHK Apartment For Rent In Bhaisepati,Lalitpur,2000
Office Space For Rent In Samakhusi,Kathmandu,37000
Apartment For Sale In Gothatar,Kathmandu,20000000
The Magnificent Bungalow For Rent In Godawari,Lalitpur,1500000
New Commercial Property For Rent In New Baneshwor,Kathmandu,250
"Full Furnished Brand New House For Sale in Bhaisepati, Near Mediciti Hospital",Lalitpur,41000000
3BHK Apartment For Sale In Pepsicola,Bhaktapur,13000000
Full Furnished 3 BHK Apartment On Sale In Down Town,Lalitpur,19500000
Bungalow On Sale In Bhaisepati Colony – Lalitpur,Lalitpur,27500000
2BHK Full Furnished Apartment For Sale,Lalitpur,11900000
3bhk Apartment For Sale In Bakundol,Lalitpur,43000000
New Full Furnished House For Sale At Bhaisepati,Lalitpur,55000000
Land For Sale In Hepali Heights,Kathmandu,4700000
Booking For Beautiful Houses In Bhaisepati,Lalitpur,32500000
