Title,Location,Price
,Lalitpur,"3,25,00,000"
House For Sale In Bansbari,Kathmandu,"5,50,00,000"
House For Rent In Bafal,Kathmandu,"1,35,000"
Land For Sale In Nakhipot,Lalitpur,"48,00,000"
4BHK Full Furnished Apartment For Rent,Lalitpur,"$1,500"
Land For Sale In Hattiban,Lalitpur,"42,00,000"
Land For Sale In Bansbari,Kathmandu,"30,00,000"
Beautiful House For Sale In Sitapaila,Kathmandu,"3,80,00,000"
Beautiful Bungalow For Rent In Shiddhartha Colony,Kathmandu,"$2,500"
Land For Sale In Gwarko,Lalitpur,"45,00,000"
3BHK Apartment For Rent In Sanepa,Lalitpur,"70,000"
2BHK Apartment For Rent In Sanepa,Lalitpur,"60,000"
Bungalow For Sale In Bhaisepati,Lalitpur,"5,95,00,000"
Beautiful House In Inside A Colony For Rent At Hattiban-Lalitpur,Lalitpur,"85,000"
Bungalow For Sale In Bafal,Kathmandu,"6,00,00,000"
"Beautiful House For Sale At Hepali Height, Golfutar",Kathmandu,"4,45,00,000"
Bungalow House For Sale In Hattigaunda,Kathmandu,"4,50,00,000"
Bungalow For Sale Inside Colony In Lazimpat,Kathmandu,"7,00,00,000"
Beautiful Bungalow For Rent In Bhaisepati,Lalitpur,"1,05,000"
2BHK Apartment For Rent At Sanepa,Lalitpur,"$,700"
"House For Rent In Vinayak Colony, Bhaisepati, lalitpur",Lalitpur,"1,00,000"
Beautiful House For Sale In Bhaisepati,Lalitpur,"5,00,00,000"
Attractive Land For Sale In Bhaisepati,Lalitpur,"65,00,000"
"3BHK Full-Furnished Aparment For Rent In Sanepa, Lalitpur",Lalitpur,"1,90,000"
